Team,Piece,Order,Include,Score_Current,Score_Previous,Summary_Current,Links,Header_Flag
Team Urgency,Countering Misinformation,19,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Country Climate Liability,20,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Coverage,21,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,DACC,22,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Emissions Reduction and SBTi Targets,23,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Energy Consumption,24,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Energy Generation,25,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Energy Storage,26,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Energy Transmission,27,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Finance,28,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Fraction of Global Energy Consumption,29,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Impact of Climate Finance,30,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Increase in Climate Cost Estimates,31,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Internal Carbon Pricing,32,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Level of Involvement,33,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,NDCs,34,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Necessity Defense,35,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Net Zero Targets,36,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,New Collective Action Initiatives,37,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Oil and Gas,38,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Policy Advocacy,39,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Project Announcements,40,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Reduction in Mitigation Cost Estimates,41,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Regulated Carbon Markets,42,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Renewable Economics,43,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Renewable Energy Purchases,44,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Technology Advancements/Demonstration,45,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Technology Economics,46,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,U.S. Targets and Ambition,47,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Voluntary Carbon Markets,48,yes,minus-2,zero,This is a test,https://climatographer.com,no
Team Urgency,Weathering,49,yes,minus-2,zero,This is a test,https://climatographer.com,no
